Date,EUR
2015/1/1,1.21
2015/1/2,1.2047
2015/1/3,1.2001
2015/1/4,1.2001
2015/1/5,1.194
2015/1/6,1.1928
2015/1/7,1.1855
2015/1/8,1.1807
2015/1/9,1.1809
2015/1/10,1.1838
2015/1/11,1.1838
2015/1/12,1.1837
2015/1/13,1.1809
2015/1/14,1.178
2015/1/15,1.1716
2015/1/16,1.1598
2015/1/17,1.1561
2015/1/18,1.156
2015/1/19,1.1586
2015/1/20,1.1581
2015/1/21,1.1575
2015/1/22,1.1549
2015/1/23,1.1292
2015/1/24,1.1204
2015/1/25,1.1204
2015/1/26,1.1219
2015/1/27,1.1292
2015/1/28,1.1347
2015/1/29,1.1297
2015/1/30,1.132
2015/1/31,1.1278
2015/2/1,1.1278
2015/2/2,1.1321
2015/2/3,1.1378
2015/2/4,1.1449
2015/2/5,1.1391
2015/2/6,1.1421
2015/2/7,1.1312
2015/2/8,1.1312
2015/2/9,1.1325
2015/2/10,1.1318
2015/2/11,1.1311
2015/2/12,1.1343
2015/2/13,1.1409
2015/2/14,1.1384
2015/2/15,1.1384
2015/2/16,1.1397
2015/2/17,1.1376
2015/2/18,1.1387
2015/2/19,1.1397
2015/2/20,1.1353
2015/2/21,1.1375
2015/2/22,1.1375
2015/2/23,1.135
2015/2/24,1.1329
2015/2/25,1.1352
2015/2/26,1.1314
2015/2/27,1.1208
2015/2/28,1.1191
2015/3/1,1.1191
2015/3/2,1.119
2015/3/3,1.1185
2015/3/4,1.1136
2015/3/5,1.105
2015/3/6,1.0962
2015/3/7,1.0839
2015/3/8,1.0838
2015/3/9,1.0854
2015/3/10,1.0774
2015/3/11,1.0631
2015/3/12,1.058
2015/3/13,1.0572
2015/3/14,1.0493
2015/3/15,1.0493
2015/3/16,1.0539
2015/3/17,1.0588
2015/3/18,1.0633
2015/3/19,1.0728
2015/3/20,1.0723
2015/3/21,1.0817
2015/3/22,1.0817
2015/3/23,1.086
2015/3/24,1.0938
2015/3/25,1.0947
2015/3/26,1.0961
