"","m=6","m=9","m=16","m=6","m=9","m=16","m=6","m=9","m=16"
"Boot BP Mean",0.141858141858142,0.0809190809190809,0.360639360639361,0.176823176823177,0.108891108891109,0.342657342657343,0.529470529470529,0.307692307692308,0.607392607392607
"Boot BP Var",0.037962037962038,0.03996003996004,0.0639360639360639,0.021978021978022,0.030969030969031,0.0999000999000999,0.227772227772228,0.210789210789211,0.155844155844156
"Boot LB Mean",0.142857142857143,0.0789210789210789,0.370629370629371,0.172827172827173,0.107892107892108,0.34965034965035,0.528471528471528,0.306693306693307,0.606393606393606
"Boot LB Var",0.037962037962038,0.03996003996004,0.0689310689310689,0.021978021978022,0.031968031968032,0.101898101898102,0.222777222777223,0.207792207792208,0.150849150849151
"Boot WLB Mean",0.120879120879121,0.0809190809190809,0.147852147852148,0.463536463536464,0.108891108891109,0.185814185814186,0.635364635364635,0.584415584415584,0.585414585414585
"Boot WLB Var",0.030969030969031,0.024975024975025,0.035964035964036,0.00799200799200799,0.011988011988012,0.022977022977023,0.355644355644356,0.246753246753247,0.184815184815185
"Boot Dan Mean",0.10989010989011,0.11988011988012,0.106893106893107,0.972027972027972,0.31968031968032,0.13986013986014,0.477522477522478,0.678321678321678,0.551448551448551
"Boot Dan Var",0.024975024975025,0.032967032967033,0.028971028971029,0.004995004995005,0.010989010989011,0.016983016983017,0.529470529470529,0.353646353646354,0.223776223776224
"Boot Mat Mean",0.120879120879121,0.0809190809190809,0.150849150849151,0.466533466533467,0.105894105894106,0.183816183816184,0.633366633366633,0.582417582417582,0.585414585414585
"Boot Mat Var",0.030969030969031,0.023976023976024,0.037962037962038,0.00999000999000999,0.011988011988012,0.023976023976024,0.357642357642358,0.246753246753247,0.194805194805195
